ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0,0,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.99,1.0,40,40,[],0,0,0.0002,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.98989898989899,1.0,40,40,[],0,0,0.0002,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.9948979591836731,1.0,40,40,[],0,0,0.0002,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.985,1.0,40,40,[],0,0,0.0002,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.994949494949494,1.0,40,40,[],0,0,0.0002,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.989795918367346,1.0,40,40,[],0,0,0.0002,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.985,1.0,40,40,[],0,0,0.0002,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.98989898989899,1.0,40,40,[],0,0,0.0002,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.9948979591836731,1.0,40,40,[],0,0,0.0002,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.76,1.0,40,40,[],0,0,0.0004,0,0.0,1.999999333368585e-06
0.0,0.0,0.975,0.792929292929292,1.0,39,40,[],0,0,0.0004,0,0.01,1.999999333368585e-06
0.0,0.0,0.9500000000000001,0.724489795918367,1.0,38,40,[],0,0,0.0004,0,0.02,1.999999333368585e-06
0.0,0.0,1.0,0.805,1.0,40,40,[],0,0,0.0004,0.001,0.0,1.999999333368585e-06
0.0,0.0,1.0,0.772727272727272,1.0,40,40,[],0,0,0.0004,0.001,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.8061224489795911,1.0,40,40,[],0,0,0.0004,0.001,0.02,1.999999333368585e-06
0.0,0.0,1.0,0.74,1.0,40,40,[],0,0,0.0004,0.01,0.0,1.999999333368585e-06
0.0,0.0,0.975,0.797979797979798,1.0,39,40,[],0,0,0.0004,0.01,0.01,1.999999333368585e-06
0.0,0.0,0.975,0.7653061224489791,1.0,39,40,[],0,0,0.0004,0.01,0.02,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,0.9958333333333331,40,40,[],0,0.002,0,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.002,0,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.99,1.0,40,40,[],0,0.002,0.0002,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.974747474747474,1.0,40,40,[],0,0.002,0.0002,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.989795918367346,1.0,40,40,[],0,0.002,0.0002,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.975,1.0,40,40,[],0,0.002,0.0002,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.9696969696969691,1.0,40,40,[],0,0.002,0.0002,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.974489795918367,1.0,40,40,[],0,0.002,0.0002,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.97,1.0,40,40,[],0,0.002,0.0002,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.9797979797979791,1.0,40,40,[],0,0.002,0.0002,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.9846938775510201,1.0,40,40,[],0,0.002,0.0002,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.8,1.0,40,40,[],0,0.002,0.0004,0,0.0,1.999999333368585e-06
0.0,0.0,1.0,0.8282828282828281,1.0,40,40,[],0,0.002,0.0004,0,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.8061224489795911,1.0,40,40,[],0,0.002,0.0004,0,0.02,1.999999333368585e-06
0.0,0.0,1.0,0.745,1.0,40,40,[],0,0.002,0.0004,0.001,0.0,1.999999333368585e-06
0.0,0.0,0.9500000000000001,0.7828282828282821,1.0,38,40,[],0,0.002,0.0004,0.001,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.831632653061224,1.0,40,40,[],0,0.002,0.0004,0.001,0.02,1.999999333368585e-06
0.0,0.0,0.975,0.785,1.0,39,40,[],0,0.002,0.0004,0.01,0.0,1.999999333368585e-06
0.0,0.0,0.975,0.757575757575757,1.0,39,40,[],0,0.002,0.0004,0.01,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.7448979591836731,1.0,40,40,[],0,0.002,0.0004,0.01,0.02,1.999999333368585e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.995,1.0,40,40,[],0,0.004,0,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.9848484848484841,1.0,40,40,[],0,0.004,0,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,1.0,1.0,40,40,[],0,0.004,0,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.9500000000000001,1.0,40,40,[],0,0.004,0.0002,0,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.954545454545454,1.0,40,40,[],0,0.004,0.0002,0,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.9489795918367341,1.0,40,40,[],0,0.004,0.0002,0,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.915,1.0,40,40,[],0,0.004,0.0002,0.001,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.934343434343434,1.0,40,40,[],0,0.004,0.0002,0.001,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.943877551020408,1.0,40,40,[],0,0.004,0.0002,0.001,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.92,1.0,40,40,[],0,0.004,0.0002,0.01,0.0,1.124999789103853e-06
0.0,0.0,1.0,0.934343434343434,1.0,40,40,[],0,0.004,0.0002,0.01,0.01,1.124999789103853e-06
0.0,0.0,1.0,0.9540816326530611,1.0,40,40,[],0,0.004,0.0002,0.01,0.02,1.124999789103853e-06
0.0,0.0,1.0,0.755,1.0,40,40,[],0,0.004,0.0004,0,0.0,1.999999333368585e-06
0.0,0.0,0.9500000000000001,0.7474747474747471,1.0,38,40,[],0,0.004,0.0004,0,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.7142857142857141,1.0,40,40,[],0,0.004,0.0004,0,0.02,1.999999333368585e-06
0.0,0.0,0.9500000000000001,0.72,1.0,38,40,[],0,0.004,0.0004,0.001,0.0,1.999999333368585e-06
0.025,0.0,0.975,0.7222222222222221,1.0,40,40,[12],0,0.004,0.0004,0.001,0.01,1.999999333368585e-06
0.0,0.0,0.975,0.7448979591836731,1.0,39,40,[],0,0.004,0.0004,0.001,0.02,1.999999333368585e-06
0.0,0.0,0.9,0.64,1.0,36,40,[],0,0.004,0.0004,0.01,0.0,1.999999333368585e-06
0.0,0.0,0.975,0.732323232323232,1.0,39,40,[],0,0.004,0.0004,0.01,0.01,1.999999333368585e-06
0.0,0.0,1.0,0.770408163265306,1.0,40,40,[],0,0.004,0.0004,0.01,0.02,1.999999333368585e-06
